ProgressVariable,EnthalpyTot,MixtureFraction,Temperature,MolarWeightMix,DiffusionCoefficient,Conductivity,ViscosityDyn,Cp,Beta_ProgVar,Beta_Enth_Thermal,Beta_Enth,Beta_MixFrac,ProdRateTot_PV,Heat_Release
0.27532790366878135,-348296.9245659759,0.0551866659823516,2265.234521202271,27.633486692012937,0.0006919063766977371,0.1561976615744517,7.171821564039017e-05,1519.112783457433,0.2680270925266963,1245.9503476627829,-2700806.515810616,0.008484775924462746,0.0,0.0
-0.27532106367118375,-276088.8464479452,0.05524691546666463,280.0077960604304,27.62649325114617,1.9849192445274376e-05,0.0256136345496792,1.708735233041869e-05,1073.2238251851118,-0.2563289908750541,1030.2256550367042,-268310.705051589,0.007471549169857526,1.0267368462654672e-09,0.004907442614173845
-0.07615475576398877,-744939.2000348478,0.05615304960143418,745.7670256630923,27.08783525451937,0.00011158267152222535,0.06162793506554891,3.3773699472427946e-05,1247.7640225341888,-0.06198281193942994,1075.1236038822603,-1245667.2762322556,0.011332654562524058,1.930627526624271,13645874.72546299
0.19724361921595268,-551763.6964703448,0.05451651170487984,1795.6537326552916,27.021470555599123,0.0004997310253091714,0.13413779120080974,6.145119052642484e-05,1463.6799711153824,0.19066945481274783,1200.4499347447188,-2062155.6351737545,0.012732712825344748,102.5944405254508,237611233.45521033
-0.2752880567464063,-237762.1973662336,0.055384929333621616,315.68990487112933,27.61034068510648,2.4632612473972124e-05,0.028405742296932247,1.8740069263808315e-05,1081.9375672128824,-0.25596079608969335,1031.5811490136123,-267006.74342848046,0.008084341241767887,3.0969555310664673e-07,1.5575280895207873
0.22313278927488242,-286293.5976593872,0.05502281400514188,2076.395213344171,27.165418738886384,0.0006313976333237887,0.15089637766354216,6.776313107867726e-05,1498.9504718037342,0.21311169557770177,1221.9449325956382,-2191660.758366567,0.012261367080578517,5.109637305262756,46857973.01376951
-0.2603653068565342,-152068.62027190794,0.05693007207931544,469.185696940068,27.348079871662083,5.020092184061033e-05,0.040640436500340604,2.492918918383787e-05,1139.708275866546,-0.23765742139195184,1027.7984304965246,-338621.8382051437,0.013673262849809326,0.2114555898446375,1463767.5394177302
0.0494268306865009,-596942.0555632195,0.05528424358563213,1302.7154176635386,26.956279504209448,0.0002892233921226273,0.10188500507396073,4.933956830435101e-05,1396.9633472394517,0.05935832027882315,1167.7081532947132,-1742335.5851765543,0.012034286068558008,78.75500925544152,546583950.9677778
-0.24960617878309865,-314479.00457763654,0.05681205134988694,374.8013288364476,27.319622766471817,3.4047550381811416e-05,0.033564996238579115,2.11708257013131e-05,1109.9537294609047,-0.22754142898658486,1018.6790790814545,-398907.47014112584,0.013145572674971216,0.09253898208843336,1080807.201037476
0.2393150309758101,-39122.94408592896,0.0553036922438034,2318.5669142339343,27.305875367101404,0.0007505032408982127,0.1639184621201784,7.293255710747717e-05,1521.7959410756316,0.22917787021730246,1241.2615769614138,-2337605.8908766285,0.010637469741877778,0.23709709928666395,1610322.991803024
0.18102608236536502,-213796.43609977284,0.05489023188974108,1927.976815695402,26.784896700908114,0.0005730353978174415,0.14365415218536934,6.453995661255589e-05,1480.6970049570039,0.17538004314093228,1196.1683160534037,-1755413.9694735273,0.01528628005150366,137.23251372312808,321679721.7478954
-0.14267355523295244,-646506.5236644875,0.05647190919235456,557.9743145274276,27.121709466951437,6.805264598769067e-05,0.0475238141289528,2.7728285221597154e-05,1178.9514534973719,-0.12563025755607457,1037.702935856866,-929742.6761669979,0.011979948781967644,0.7766673282411224,5695920.409807426
-0.2753279036689794,60065.59370984277,0.05518666598235155,580.7572960559764,27.63348669201521,6.990840948833595e-05,0.04752588240862992,2.8975947453245206e-05,1172.4697327577212,-0.2591234525377828,1061.4660550665762,-251462.6476415385,0.008005946132926859,0.0,0.0
0.27532790366878135,-48180.21845558129,0.0551866659823516,2461.8346510294637,27.633486692012937,0.0007958107769933694,0.16690669567377595,7.582903273552467e-05,1533.6651437024852,0.26776730081390937,1252.392590253872,-2643801.373748457,0.00848857169978424,0.0,0.0
0.27532790366878135,-2080093.196265699,0.0551866659823516,1066.0512393621802,27.633486692012937,0.00019182234564077159,0.08076610735337716,4.268930739020264e-05,1335.2120497705557,0.2703553518635856,1144.3249829038034,-3006686.4487850503,0.00832188781505953,0.0,0.0
0.27532790366878135,-2498995.148873471,0.0551866659823516,741.0100647395833,27.633486692012937,0.00010267286258683565,0.05756386962657058,3.285923524163759e-05,1235.9802698866818,0.2677077544881819,1075.6412786441358,-3029797.640871634,0.007995805153084618,0.0,0.0
-0.1186277367492331,-446267.28443889855,0.056608585719011575,815.9864689963434,27.01082523710854,0.00013072015029401112,0.06736079776953367,3.6027913680141466e-05,1277.4309290590295,-0.09953828368178719,1087.3845888325716,-1030691.281507189,0.013422610939189781,9.509547136608582,81059791.89300482
0.160393200689695,-357665.07674055407,0.05453492215280842,1797.9666390369027,26.794777113993288,0.0005074628904590399,0.13477046069438867,6.152094805255255e-05,1462.310110809993,0.15991884967766964,1194.1660701864132,-1876280.4261052662,0.01391105390156111,367.31530315356855,1111204993.0277987
0.21069371511828403,-259723.82313636693,0.05482026889685885,2027.3093747405003,27.044561044800883,0.0006127912888152481,0.14871840586289656,6.671613526671684e-05,1492.8282476711372,0.2007789871415031,1211.462722500753,-2016374.2113092898,0.01360754181603794,10.675319652004612,101643435.87268688
