"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -8.078521378,      -4.952551196,      -5.056282378,      -2.610841694
          0,           0,          77,      -8.079798371,      -4.953597005,      -5.058690968,      -2.612038687
          0,           0,          78,      -8.081152174,      -4.954743909,      -5.061261726,      -2.613325464
          0,           0,          79,      -8.082673642,      -4.955997386,      -5.063996305,      -2.614791574
          0,           0,          80,       -8.08435175,      -4.957347568,      -5.066869737,      -2.616421419
          0,           0,          81,      -8.086118041,      -4.958784783,       -5.06988068,       -2.61814198
          0,           0,          82,      -8.088164057,      -4.960312051,      -5.073004601,      -2.620149174
          0,           0,          83,      -8.090213232,      -4.961863155,      -5.076159661,      -2.622162788
          0,           0,          84,      -8.092328855,      -4.963448611,      -5.079355487,      -2.624245088
          0,           0,          85,      -8.094700528,      -4.965087065,      -5.082599992,      -2.626584345
          0,           0,          86,      -8.097066319,      -4.966722297,      -5.085816881,      -2.628919912
          0,           0,          87,      -8.099508327,       -4.96836567,       -5.08901689,      -2.631327779
          0,           0,          88,      -8.102002541,      -4.970005765,      -5.092187662,      -2.633786742
          0,           0,          89,      -8.104538233,      -4.971629951,      -5.095300428,      -2.636290575
          0,           0,          90,      -8.106954512,      -4.973221112,      -5.098351554,      -2.638672778
          0,           0,          91,      -8.109575212,      -4.974803746,      -5.101338894,      -2.641270352
          0,           0,          92,      -8.112070282,       -4.97632976,      -5.104204278,      -2.643746095
          0,           0,          93,      -8.114502214,      -4.977809959,      -5.106964598,      -2.646158531
          0,           0,          94,      -8.116926456,       -4.97925078,      -5.109635106,      -2.648569602
          0,           0,          95,      -8.119381761,      -4.980656924,      -5.112207839,      -2.651019052
          0,           0,          96,      -8.121716789,      -4.982009171,       -5.11465597,      -2.653350602
          0,           0,          97,      -8.123998902,      -4.983316242,      -5.116996822,      -2.655633669
          0,           0,          98,       -8.12621902,      -4.984583904,      -5.119233354,      -2.657857716
          0,           0,          99,      -8.128355869,      -4.985811752,      -5.121365813,      -2.660002545
          0,           0,         100,      -8.130347419,      -4.986997213,      -5.123394331,      -2.662003795
          0,           0,         101,      -8.132290331,        -4.9881514,      -5.125336672,      -2.663959456
          0,           0,         102,      -8.134208535,      -4.989274206,      -5.127183834,       -2.66589405
          0,           0,         103,      -8.135991282,      -4.990354806,      -5.128921651,      -2.667694942
          0,           0,         104,      -8.137684454,      -4.991403214,      -5.130569596,      -2.669407106
          0,           0,         105,      -8.139242768,      -4.992423143,        -5.1321366,      -2.670984197
          0,           0,         106,      -8.140830366,      -4.993418302,      -5.133631254,      -2.672595699
          0,           0,         107,       -8.14227842,      -4.994375582,      -5.135028406,      -2.674070977
          0,           0,         108,      -8.143660576,       -4.99530283,      -5.136349434,      -2.675485917
          0,           0,         109,      -8.144971893,       -4.99620044,       -5.13759694,      -2.676829415
          0,           0,         110,      -8.146196914,      -4.997065722,      -5.138768857,       -2.67808726
          0,           0,         111,      -8.147350121,      -4.997898067,       -5.13986783,      -2.679278878
          0,           0,         112,      -8.148306969,      -4.998690901,      -5.140894631,      -2.680271003
          0,           0,         113,      -8.149328769,      -4.999463813,       -5.14187642,      -2.681337486
          0,           0,         114,      -8.150261528,      -5.000195913,      -5.142775402,      -2.682317519
          0,           0,         115,       -8.15108572,       -5.00088399,      -5.143589267,      -2.683190674
          0,           0,         116,      -8.151860415,      -5.001537129,       -5.14434197,      -2.684016614
          0,           0,         117,       -8.15242732,      -5.002146282,      -5.145044386,      -2.684634253
          0,           0,         118,      -8.153160163,      -5.002733868,      -5.145697633,      -2.685425701
          0,           0,         119,      -8.153706828,      -5.003265709,      -5.146258913,      -2.686033062
          0,           0,         120,       -8.15418027,      -5.003754245,      -5.146750868,      -2.686566579
          0,           0,         121,      -8.154631784,       -5.00420501,      -5.147190204,      -2.687082009
          0,           0,         122,       -8.15501844,      -5.004619098,      -5.147578854,      -2.687533769
          0,           0,         123,      -8.155343804,      -5.004995668,      -5.147917671,       -2.68792494
          0,           0,         124,        -8.1555936,      -5.005328678,      -5.148197273,      -2.688240339
          0,           0,         125,      -8.155731188,      -5.005618125,      -5.148420574,       -2.68844375
          0,           0,         126,       -8.15581894,      -5.005872665,      -5.148597821,      -2.688598237
          0,           0,         127,      -8.155949376,      -5.006095244,      -5.148732562,      -2.688798364
          0,           0,         128,       -8.15596913,       -5.00627382,      -5.148804817,      -2.688886758
          0,           0,         129,      -8.155938707,      -5.006417897,      -5.148829591,      -2.688924759
          0,           0,         130,      -8.155831714,      -5.006526835,      -5.148812175,      -2.688885268
          0,           0,         131,      -8.155628451,      -5.006599362,      -5.148756718,      -2.688749235
          0,           0,         132,      -8.155519723,      -5.006650021,       -5.14867976,      -2.688711323
          0,           0,         133,      -8.155301079,      -5.006661096,      -5.148544885,      -2.688563116
          0,           0,         134,      -8.155040371,      -5.006640521,      -5.148366675,      -2.688373038
          0,           0,         135,      -8.154718433,      -5.006587785,      -5.148152212,      -2.688119605
          0,           0,         136,      -8.154386671,      -5.006506123,      -5.147902326,      -2.687859964
          0,           0,         137,      -8.153999208,      -5.006397996,      -5.147618465,      -2.687545921
          0,           0,         138,      -8.153584813,      -5.006264706,      -5.147305947,      -2.687203587
          0,           0,         139,      -8.153098717,      -5.006104981,      -5.146965558,      -2.686785837
          0,           0,         140,      -8.152434154,      -5.005906845,      -5.146593072,      -2.686182544
          0,           0,         141,      -8.152004522,      -5.005705579,       -5.14621123,      -2.685823724
          0,           0,         142,      -8.151451538,        -5.0054705,      -5.145780555,      -2.685337853
          0,           0,         143,      -8.150846516,      -5.005213396,      -5.145321472,      -2.684799708
          0,           0,         144,      -8.150230753,      -5.004933464,      -5.144833925,      -2.684249096
          0,           0,         145,      -8.149414469,      -5.004620661,      -5.144315963,      -2.683491315
          0,           0,         146,      -8.148818224,      -5.004305996,      -5.143800127,      -2.682963925
          0,           0,         147,      -8.148128405,      -5.003964964,       -5.14324562,      -2.682340891
          0,           0,         148,      -8.147389455,      -5.003605919,      -5.142666473,      -2.681668528
          0,           0,         149,      -8.146668647,      -5.003226459,      -5.142066903,      -2.681013785
          0,           0,         150,      -8.145894416,      -5.002825426,      -5.141442403,      -2.680305465
          0,           0,         151,      -8.145096759,      -5.002405564,      -5.140797015,      -2.679573889
          0,           0,         152,      -8.144309253,      -5.001971436,      -5.140139747,      -2.678854179
          0,           0,         153,      -8.143494456,      -5.001522909,      -5.139467151,      -2.678106626
          0,           0,         154,      -8.142657348,      -5.001059965,      -5.138780554,      -2.677336234
          0,           0,         155,      -8.141636184,      -5.000570684,      -5.138059164,      -2.676375734
          0,           0,         156,      -8.140744641,      -5.000077684,      -5.137342043,      -2.675549309
          0,           0,         157,      -8.139913729,      -4.999577057,      -5.136616005,      -2.674785665
          0,           0,         158,      -8.139012939,      -4.999058874,      -5.135866471,      -2.673949358
          0,           0,         159,      -8.138103248,      -4.998529894,      -5.135102687,      -2.673102516
          0,           0,         160,      -8.137194324,      -4.997991675,      -5.134332176,      -2.672255567
          0,           0,         161,      -8.136076581,      -4.997430652,      -5.133535468,      -2.671193607
          0,           0,         162,      -8.135221316,      -4.996878367,      -5.132762013,      -2.670402498
          0,           0,         163,      -8.134264816,      -4.996307903,      -5.131958228,      -2.669507169
          0,           0,         164,      -8.133284953,      -4.995726659,      -5.131134818,      -2.668586838
          0,           0,         165,      -8.132338094,      -4.995139439,      -5.130307313,      -2.667700029
          0,           0,         166,       -8.13138143,      -4.994544666,      -5.129475451,      -2.666803119
          0,           0,         167,      -8.130377147,      -4.993939277,      -5.128629295,      -2.665857718
          0,           0,         168,      -8.129387335,      -4.993323323,      -5.127773024,      -2.664928753
          0,           0,         169,      -8.128400391,      -4.992700121,      -5.126913226,      -2.664004857
          0,           0,         170,      -8.127388638,      -4.992069391,      -5.126046898,      -2.663057227
          0,           0,         171,      -8.126368749,       -4.99143305,      -5.125174011,      -2.662102241
          0,           0,         172,      -8.125051979,      -4.990771951,      -5.124280906,      -2.660834211
          0,           0,         173,      -8.124144255,      -4.990126688,      -5.123403796,      -2.659998786
          0,           0,         174,      -8.123099624,      -4.989466157,      -5.122499439,        -2.6590229
          0,           0,         175,       -8.12201801,      -4.988798505,      -5.121580527,       -2.65800787
          0,           0,         176,      -8.120964299,      -4.988129953,      -5.120661211,      -2.657022639
          0,           0,         177,      -8.119774502,      -4.987450633,      -5.119739522,      -2.655891287
          0,           0,         178,      -8.118660214,      -4.986776473,      -5.118839417,      -2.654846122
          0,           0,         179,       -8.11763079,       -4.98609626,      -5.117915526,      -2.653884353
          0,           0,         180,      -8.116527378,      -4.985404055,       -5.11696898,      -2.652846417
          0,           0,         181,      -8.115438098,      -4.984707678,      -5.116013577,      -2.651822636
          0,           0,         182,      -8.114363227,      -4.984009057,      -5.115056987,      -2.650814538
          0,           0,         183,      -8.113257298,       -4.98330943,      -5.114106192,      -2.649779617
          0,           0,         184,      -8.112179097,       -4.98260469,      -5.113138911,      -2.648770749
          0,           0,         185,       -8.11106998,      -4.981893711,      -5.112169353,      -2.647732761
          0,           0,         186,      -8.109909193,       -4.98117513,      -5.111180512,      -2.646641964
          0,           0,         187,      -8.108812595,      -4.980455578,      -5.110199553,      -2.645619577
          0,           0,         188,      -8.107692281,      -4.979733211,      -5.109216435,      -2.644573828
          0,           0,         189,      -8.106306186,      -4.978993031,      -5.108206245,      -2.643250286
          0,           0,         190,      -8.105305498,      -4.978271505,      -5.107227864,      -2.642331047
          0,           0,         191,      -8.104122459,      -4.977531995,      -5.106206847,      -2.641223076
          0,           0,         192,      -8.102986512,      -4.976791214,      -5.105183756,       -2.64016423
          0,           0,         193,      -8.101865763,      -4.976054583,      -5.104164435,      -2.639119909
          0,           0,         194,      -8.100663877,      -4.975314773,      -5.103143132,      -2.637991205
          0,           0,         195,      -8.099381708,       -4.97457052,      -5.102111006,      -2.636779471
          0,           0,         196,      -8.098307113,      -4.973835924,      -5.101100453,      -2.635782938
          0,           0,         197,      -8.097162545,       -4.97309713,      -5.100072617,      -2.634712422
