"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          46,      -1.203922766,       1.242588886,      0.9325429892,       4.065089004,      -5.084749066
          0,           0,          47,      -1.214889187,       1.234406545,      0.9264374253,       4.056775747,      -5.089026843
          0,           0,          48,      -1.238887382,       1.226162469,      0.9207504376,       4.046706665,      -5.091949893
          0,           0,          49,      -1.243801154,       1.218688056,      0.9175979988,       4.039325492,      -5.093393617
          0,           0,          50,      -1.252026946,         1.2122316,      0.9156438982,        4.03274124,      -5.093254252
          0,           0,          51,      -1.261614457,       1.205809121,      0.9115529151,       4.024670704,       -5.09154399
          0,           0,          52,      -1.273542133,       1.199858267,      0.9087495146,       4.017347301,      -5.088307355
          0,           0,          53,      -1.285554388,       1.193636878,      0.9054554326,       4.009219279,      -5.083558211
          0,           0,          54,      -1.292154468,        1.18830586,      0.9034620086,       4.002899599,      -5.077433181
          0,           0,          55,       -1.29836771,       1.183328997,      0.9015970861,       3.997547689,      -5.070099893
          0,           0,          56,      -1.301011642,       1.179750034,      0.9027001259,       3.992299887,       -5.06177297
          0,           0,          57,      -1.326436331,       1.172110608,      0.8949774133,       3.981307901,      -5.052571356
          0,           0,          58,      -1.346437424,       1.166456504,      0.8948073032,       3.973480811,      -5.042759224
          0,           0,          59,      -1.347583992,       1.160953018,      0.8918647557,       3.967082202,      -5.032544353
          0,           0,          60,      -1.343961448,       1.158032706,      0.8938308078,       3.964423004,      -5.022059222
          0,           0,          61,      -1.336807264,       1.156785681,      0.8998927772,       3.962714214,      -5.011691896
          0,           0,          62,       -1.35255282,       1.152296303,       0.896253982,       3.954934203,      -5.001810355
          0,           0,          63,      -1.356266911,       1.150342368,      0.8969808265,        3.95163065,      -4.992515878
          0,           0,          64,      -1.367670807,       1.145398733,      0.8961541517,       3.945396286,      -4.984068345
          0,           0,          65,      -1.372192755,       1.142494532,      0.8953447593,       3.940784068,       -4.97665707
          0,           0,          66,        -1.3805603,       1.138420427,      0.8940683806,       3.935566483,      -4.970465848
          0,           0,          67,      -1.382740165,       1.134499944,      0.8932218213,        3.93033557,      -4.965771106
          0,           0,          68,      -1.390578227,       1.130667871,      0.8948002069,       3.925505885,      -4.962540533
          0,           0,          69,      -1.391829802,       1.125379994,      0.8945538614,       3.919303587,      -4.960861088
          0,           0,          70,      -1.396280091,       1.121809256,      0.8985013846,       3.914712334,      -4.960778596
          0,           0,          71,      -1.382935513,       1.117738002,      0.8992828409,       3.910242209,      -4.962328509
          0,           0,          72,      -1.370942845,       1.116002846,      0.9046638621,       3.907693609,      -4.965578106
          0,           0,          73,      -1.341699483,       1.115102294,      0.9060821664,       3.908942378,      -4.970446688
          0,           0,          74,       -1.31635802,       1.117313224,      0.9137270261,       3.907199966,      -4.976666994
          0,           0,          75,      -1.372027879,       1.103112382,      0.9080464471,       3.883859739,      -4.983917453
          0,           0,          76,      -1.452085076,       1.086614445,      0.9128687524,       3.866123805,      -4.991947671
          0,           0,          77,      -1.431357625,       1.081333424,      0.9096379832,       3.859147809,      -5.000272942
          0,           0,          78,      -1.425581496,       1.079508167,      0.9163387562,       3.850345367,      -5.008507888
          0,           0,          79,      -1.380300173,       1.082068769,      0.9156681987,        3.85205976,      -5.016491977
          0,           0,          80,      -1.348214696,       1.089668144,      0.9338746834,       3.854783681,       -5.02410859
          0,           0,          81,      -1.279675021,       1.095802695,       0.927272769,       3.875186644,       -5.03126586
          0,           0,          82,      -1.280323401,       1.108002677,      0.9404629457,       3.875693363,      -5.037841043
          0,           0,          83,      -1.366345976,       1.074522533,      0.9306646465,       3.825209595,      -5.044089988
          0,           0,          84,      -1.414483467,       1.062274132,      0.9293288881,        3.80852637,      -5.049994351
          0,           0,          85,      -1.363688905,       1.062213775,      0.9294964065,       3.811779887,      -5.055477879
          0,           0,          86,      -1.347733633,       1.074866031,      0.9367806975,       3.812442083,      -5.060671468
          0,           0,          87,      -1.374829493,       1.057144413,      0.9360069291,       3.796092729,      -5.065725354
          0,           0,          88,      -1.382773541,       1.056776255,      0.9377421285,       3.787993834,      -5.070485033
          0,           0,          89,      -1.402113966,       1.047141235,      0.9398444771,       3.775985447,      -5.075044271
          0,           0,          90,      -1.425054232,       1.042325522,      0.9414089921,       3.768032092,      -5.079473191
          0,           0,          91,      -1.424795891,       1.038544514,      0.9452086857,       3.759444394,      -5.083611604
          0,           0,          92,       -1.42540577,       1.037032409,      0.9488093898,       3.754805822,      -5.087579274
          0,           0,          93,      -1.429192943,       1.036175233,      0.9518520542,       3.750973021,      -5.091325885
          0,           0,          94,      -1.435627633,       1.035958591,      0.9540367253,       3.746866278,      -5.094948596
          0,           0,          95,      -1.430585564,       1.034169886,      0.9585556272,        3.74651644,      -5.098247826
          0,           0,          96,      -1.438245197,       1.033810422,       0.960959927,       3.736846839,      -5.101313324
          0,           0,          97,      -1.432404442,       1.031834339,      0.9658386704,       3.736478374,       -5.10404098
          0,           0,          98,      -1.442624216,       1.030816155,      0.9668458592,       3.721276642,       -5.10649457
          0,           0,          99,      -1.437820694,       1.028209474,      0.9723831361,       3.727450911,       -5.10864935
          0,           0,         100,      -1.452942769,       1.027511615,      0.9731552049,       3.713810385,       -5.11075851
